id,name,type,sex,height,land,peakvalue
bmg23,Jonas Hofmann,1,26,196,NA,F
bmg24,Tony Jantschke,1,26,27,NA,D
bmg25,Ramy Bensebaini,1,26,144,NA,G
bmg29,Joe Scally,1,26,136,NA,E
bmg3,Ko Itakura,1,26,100,NA,E
bmg30,Nico Elvedi,1,26,67,NA,I
bmg32,Florian Neuhaus,1,26,128,NA,I
bmg34,Conor Noss,1,26,27,NA,A
bmg38,Yvandro Borges Sanches,1,26,27,NA,A
bmg4,Mamadou Doucoure,1,26,149,NA,A
bmg41,Jan Olschowsky,1,26,27,NA,A
bmg5,Marvin Friedrich,1,26,81,NA,D
bmg6,Christoph Kramer,1,26,113,NA,E
bmg7,Patrick Herrmann,1,26,27,NA,E
bmg8,Julian Weigl,1,26,128,NA,H
bmgj,Gladbach Jugend,2,27,NA,GER,NA
boc,VfL Bochum,2,28,NA,GER,NA
boc1,Manuel Riemann,1,28,36,NA,A
boc10,Philipp Foerster,1,28,204,NA,B
boc11,Takuma Asano,1,28,213,NA,B
boc16,Konstantinos Stafylidis,1,28,145,NA,B
boc17,Gerrit Holtmann,1,28,190,NA,B
boc18,Jordi Osei Tutu,1,28,8,NA,A
boc2,Cristian Gamboa,1,28,125,NA,A
boc20,Ivan Ordets,1,28,171,NA,B
boc21,Michael Esser,1,28,85,NA,A
boc22,Christopher Antwi Adjei,1,28,90,NA,A
boc23,Saidy Janko,1,28,123,NA,B
boc24,Vasilios Lampropoulos,1,28,140,NA,A
boc28,Pierre Kunde,1,28,13,NA,D
boc29,Moritz Broschinski,1,28,46,NA,A
boc3,Danilo Soares,1,28,116,NA,A
boc30,Dominique Heintz,1,28,61,NA,D
boc31,Keven Schlotterbeck,1,28,101,NA,D
boc33,Philipp Hofmann,1,28,81,NA,B
boc35,Silvere Ganvoula,1,28,7,NA,B
boc4,Erhan Masovic,1,28,47,NA,B
boc5,Jacek Goralski,1,28,216,NA,B
boc6,Patrick Osterhage,1,28,38,NA,A
boc7,Kevin Stoeger,1,28,204,NA,C
boc8,Anthony Losilla,1,28,12,NA,A
boc9,Simon Zoller,1,28,107,NA,B
bocj,VfL Bochum Jugend,2,29,NA,GER,NA
bolt,Bolton Wanderers,2,248,NA,ENG,NA
bonn,Bonner SC,2,30,NA,GER,NA
brab,Brabrand IF,2,31,NA,DEN,NA
bro,Broendby IF,2,32,NA,DEN,NA
brue,FC Bruegge,2,33,NA,BEL,NA
bsc,Hertha BSC Berlin,2,34,NA,GER,NA
bsc1,Oliver Christensen,1,34,137,NA,B
bsc10,Jean Paul Boetius,1,34,69,NA,C
bsc14,Dodi Lukebakio,1,34,5,NA,G
bsc16,Jonjoe Kenny,1,34,56,NA,E
bsc17,Maximilian Mittelstaedt,1,34,35,NA,E
bsc18,Wilfried Kanga,1,34,149,NA,B
bsc19,Stefan Jovetic,1,34,146,NA,H
bsc2,Peter Pekarik,1,34,51,NA,B
bsc20,Marc Oliver Kempf,1,34,170,NA,D
bsc21,Marvin Plattenhardt,1,34,62,NA,F
bsc23,Marco Richter,1,34,58,NA,D
bsc24,Jessic Ngankam,1,34,35,NA,A
bsc27,Kevin Prince Boateng,1,34,35,NA,G
bsc29,Lucas Tousart,1,34,201,NA,G
bsc3,Augustin Rogel,1,34,130,NA,B
bsc31,Marton Dardai,1,34,35,NA,C
bsc34,Ivan Sunjic,1,34,214,NA,C
bsc39,Derry Scherhant,1,34,35,NA,A
bsc40,Chidera Ejuke,1,34,186,NA,D
bsc42,Julian Eitschberger,1,34,35,NA,A
bsc5,Filip Uremovic,1,34,44,NA,C
bsc6,Tolga Cigerci,1,34,211,NA,B
bsc7,Florian Niederlechner,1,34,53,NA,D
bsc8,Suat Serdar,1,34,74,NA,G
bscj,Hertha BSC Jugend,2,35,NA,GER,NA
burg,Wacker Burghausen,2,36,NA,GER,NA
bvb,Borussia Dortmund,2,37,NA,GER,NA
bvb1,Gregor Kobel,1,37,79,NA,G
bvb11,Marco Reus,1,37,160,NA,J
bvb13,Raphael Guerreiro,1,37,40,NA,I
bvb14,Nico Schulz,1,37,35,NA,G
bvb15,Mats Hummels,1,37,60,NA,K
bvb17,Marius Wolf,1,37,128,NA,D
bvb18,Youssoufa Moukoko,1,37,38,NA,H
bvb19,Julian Brandt,1,37,211,NA,J
bvb2,Mateu Morey,1,37,20,NA,C
bvb20,Anthony Modeste,1,37,134,NA,F
bvb21,Donyell Malen,1,37,8,NA,H
bvb22,Jude Bellingham,1,37,24,NA,L
bvb23,Emre Can,1,37,60,NA,I
bvb24,Thomas Meunier,1,37,156,NA,I
bvb25,Niklas Suele,1,37,196,NA,K
bvb26,Julian Ryerson,1,37,206,NA,C
bvb27,Karim Adeyemi,1,37,199,NA,I
bvb30,Felix Passlack,1,37,38,NA,B
bvb33,Alexander Meyer,1,37,96,NA,A
bvb35,Marcel Lotka,1,37,113,NA,A
bvb36,Tom Rothe,1,37,38,NA,B
bvb4,Nico Schlotterbeck,1,37,167,NA,I
bvb43,Jamie Bynoe Gittens,1,37,38,NA,D
bvb47,Antonios Papadopoulos,1,37,205,NA,A
bvb6,Salih Oezcan,1,37,103,NA,F
bvb7,Giovanni Reyna,1,37,136,NA,J
bvb8,Mahmoud Dahoud,1,37,27,NA,F
bvb9,Sebastien Haller,1,37,17,NA,J
bvbj,Borussia Dortmund Jugend,2,38,NA,GER,NA
cac,CA Colon,2,39,NA,ARG,NA
caen,SM Caen,2,40,NA,FRA,NA
cal,Deportivo Cali,2,41,NA,ESP,NA
cco,Central Coast,2,42,NA,AUS,NA
cel,Celtic Glasgow,2,232,NA,SCO,NA
cerc,Cercle Bruegge,2,240,NA,BEL,NA
cfc,Chelsea London,2,43,NA,ENG,NA
cib,Cibalia,2,44,NA,CRO,NA
cob,Cobreloa,2,45,NA,CHI,NA
cott,Energie Cottbus,2,46,NA,GER,NA
crot,FC Crotone,2,231,NA,ITA,NA
cuk,FK Cukaricki,2,47,NA,SRB,NA
czj,FC Carl Zeiss Jena,2,48,NA,GER,NA
dcu,DC United,2,49,NA,USA,NA
der,Derby County,2,50,NA,ENG,NA
dre,Dynamo Dresden,2,226,NA,GER,NA
dubn,FK Dubnica,2,51,NA,SVK,NA
duis,MSV Duisburg,2,52,NA,GER,NA
eber,TSV Ebersberg,2,53,NA,GER,NA
ebs,Eintracht Braunschweig,2,54,NA,GER,NA
espb,Espanyol Barcelona,2,55,NA,ESP,NA
eve,FC Everton,2,56,NA,ENG,NA
fca,FC Augsburg,2,57,NA,GER,NA
fca1,Rafal Gikiewicz,1,57,141,NA,A
fca10,Arne Maier,1,57,35,NA,G
